입력 문장,도수,술 종류,맛
도수가 낮은인 매끄러운 칵테일를 마셔보고 싶어요.,낮은,칵테일,부드러운
도수가 낮은인 술을 추천해줘.,낮은,위스키,알 수 없음
나는 중간 도수의 스위트한 칵테일을 마시고 싶어.,중간,칵테일,달달한
오늘은 럼 어때요?,중간,럼,알 수 없음
상큼한 보드카 중에서 도수 중간인 게 궁금해요.,중간,보드카,신맛
스위트한 위스키 중에서 중간 도수의 것을 추천해줘.,중간,위스키,달달한
"높은 도수의 쌉쌀한 럼, 추천할 만한 거 있어?",높은,럼,쓴맛
도수가 중간인 꽤 쌉쌀한 보드카를 마셔보고 싶어요.,중간,보드카,쓴맛
"마실 보드카를 찾고 있어요. 매끄러운이고, 낮은 도수면 좋겠어요.",낮은,보드카,부드러운
스위트한 위스키 중에서 낮은 도수의 것을 추천해줘.,낮은,위스키,달달한
낮은 도수로 톡 쏘는 럼를 마셔보고 싶어요.,낮은,럼,신맛
"마실 칵테일를 찾고 있어요. 산뜻한이고, 높은 도수면 좋겠어요.",높은,칵테일,상큼한
도수는 낮은로 부탁해요.,낮은,알 수 없음,상큼한
나는 중간 도수의 상당히 매끄러운 칵테일을 마시고 싶어.,중간,칵테일,부드러운
도수가 낮은인 쌉쌀한 보드카를 마셔보고 싶어요.,낮은,보드카,쓴맛
"낮은 도수의 칵테일를 추천해주세요, 매우 상큼한으로!오늘은 낮은 도수의 매우 상큼한 칵테일를 마셔야겠어.칵테일를 마시고 싶어요. 매우 상큼한이고 도수는 낮은가 좋아요.매우 상큼한 칵테일 한 잔 어때? 도수는 낮은로!가볍게 마실 수 있는 낮은 도수의 매우 상큼한 칵테일를 찾고 있어요.낮은 도수의 칵테일 중에 매우 상큼한인 걸 추천해주세요.친구랑 마실 매우 상큼한 칵테일, 낮은 도수로 부탁해요.도수 낮은인 매우 상큼한 칵테일를 마셔보고 싶은 기분이에요.매우 상큼한 칵테일가 필요해요. 도수는 낮은가 좋겠어요.오늘의 추천 칵테일는 낮은 도수의 매우 상큼한 걸로 해주세요.매우 상큼한 칵테일 중에서 도수가 낮은인 게 궁금하네요.낮은 도수로 마실 만한 매우 상큼한 칵테일, 알려줘.요즘 낮은 도수의 매우 상큼한 칵테일에 빠졌어요.도수가 낮은이고 매우 상큼한 칵테일, 괜찮을까요?매우 상큼한 칵테일가 끌리는데, 도수는 낮은로 골라줘.낮은 도수의 매우 상큼한 칵테일 한 잔 생각나네요.칵테일 추천해줘! 매우 상큼한이고 도수는 낮은로.",낮은,칵테일,신맛
중간 도수의 상당히 쌉쌀한 럼 한 잔 어때?,중간,럼,쓴맛
아주 소프트한 칵테일 중에서 중간 도수의 것을 추천해줘.,중간,칵테일,부드러운
도수는 높은로 부탁해요.,높은,보드카,알 수 없음
나는 중간 도수의 소프트한 럼을 마시고 싶어.,중간,럼,부드러운
도수는 낮은로 부탁해요.,낮은,위스키,알 수 없음
"높은 도수의 소프트한 칵테일, 추천할 만한 거 있어?",높은,칵테일,부드러운
"마실 위스키를 찾고 있어요. 매끄러운이고, 낮은 도수면 좋겠어요.",낮은,위스키,부드러운
달달한한 술 없을까요?,높은,알 수 없음,달달한
도수가 낮은인 아주 소프트한 칵테일를 마셔보고 싶어요.,낮은,칵테일,부드러운
낮은 도수로 상큼한 위스키를 마셔보고 싶어요.,낮은,위스키,신맛
비터한 럼 중에서 도수 낮은인 게 궁금해요.,낮은,럼,쓴맛
"오늘 비터한 칵테일를 마시고 싶어, 도수는 높은로.",높은,칵테일,쓴맛
럼를 마시고 싶어.,알 수 없음,럼,상큼한
높은 도수로 꽤 프레시한 보드카를 마셔보고 싶어요.,높은,보드카,상큼한
"마실 보드카를 찾고 있어요. 조금 톡 쏘는이고, 중간 도수면 좋겠어요.",중간,보드카,신맛
칵테일 추천해줄래?,알 수 없음,칵테일,상큼한
프레시한 위스키 중에서 중간 도수가 괜찮을까요?,중간,위스키,상큼한
부드러운한 술 없을까요?,중간,알 수 없음,부드러운
"마실 칵테일를 찾고 있어요. 정말 쌉쌀한이고, 높은 도수면 좋겠어요.",높은,칵테일,쓴맛
부드러운 위스키를 추천해줘.,알 수 없음,위스키,부드러운
"마실 위스키를 찾고 있어요. 소프트한이고, 높은 도수면 좋겠어요.",높은,위스키,부드러운
도수가 중간인 프레시한 위스키를 마셔보고 싶어요.,중간,위스키,상큼한
부드러운하고 도수는 중간인 술 추천해줘.,중간,알 수 없음,부드러운
상큼한 보드카 중에서 낮은 도수가 괜찮을까요?,낮은,보드카,신맛
"마실 럼를 찾고 있어요. 꽤 상큼한이고, 중간 도수면 좋겠어요.",중간,럼,신맛
"마실 보드카를 찾고 있어요. 아주 쌉쌀한이고, 높은 도수면 좋겠어요.",높은,보드카,쓴맛
도수가 낮은인 매끄러운 위스키를 마셔보고 싶어요.,낮은,위스키,부드러운
"마실 위스키를 찾고 있어요. 꽤 산뜻한이고, 낮은 도수면 좋겠어요.",낮은,위스키,상큼한
도수가 중간인 스위트한 칵테일를 마셔보고 싶어요.,중간,칵테일,달달한
오늘은 위스키 어때요?,높은,위스키,알 수 없음
나는 높은 도수의 산뜻한 칵테일을 마시고 싶어.,높은,칵테일,상큼한
부드러운한 술 없을까요?,알 수 없음,알 수 없음,부드러운
높은 도수로 꽤 매끄러운 럼를 마셔보고 싶어요.,높은,럼,부드러운
중간 도수로 조금 달콤한 위스키를 마셔보고 싶어요.,중간,위스키,달달한
도수가 낮은인 산뜻한 위스키를 마셔보고 싶어요.,낮은,위스키,상큼한
위스키 중에서 상큼한한 걸로 부탁해요.,알 수 없음,위스키,상큼한
비터한 보드카 중에서 높은 도수의 것을 추천해줘.,높은,보드카,쓴맛
"중간 도수의 비터한 보드카, 추천할 만한 거 있어?",중간,보드카,쓴맛
낮은 도수의 상큼한 보드카 한 잔 어때?,낮은,보드카,신맛
정말 스위트한 보드카 중에서 낮은 도수의 것을 추천해줘.,낮은,보드카,달달한
산뜻한 위스키 중에서 도수 낮은인 게 궁금해요.,낮은,위스키,상큼한
소프트한 보드카 중에서 중간 도수의 것을 추천해줘.,중간,보드카,부드러운
도수가 중간인 술을 추천해줘.,중간,알 수 없음,달달한
도수가 중간인 매끄러운 칵테일를 마셔보고 싶어요.,중간,칵테일,부드러운
"지금 매끄러운 칵테일가 마시고 싶은데, 높은 도수가 좋아.",높은,칵테일,부드러운
"오늘 상큼한 럼를 마시고 싶어, 도수는 높은로.",높은,럼,신맛
도수가 높은인 달콤한 럼를 마셔보고 싶어요.,높은,럼,달달한
도수가 높은인 조금 소프트한 럼를 마셔보고 싶어요.,높은,럼,부드러운
도수가 중간인 산뜻한 럼를 마셔보고 싶어요.,중간,럼,상큼한
도수가 중간인 술을 추천해줘.,중간,알 수 없음,부드러운
위스키 추천해줄래?,알 수 없음,위스키,알 수 없음
위스키 추천해줄래?,알 수 없음,위스키,신맛
비터한 럼 중에서 중간 도수가 괜찮을까요?,중간,럼,쓴맛
"오늘 아주 달콤한 위스키를 마시고 싶어, 도수는 중간로.",중간,위스키,달달한
쓴맛 맛이 나는 술을 추천해줘.,알 수 없음,칵테일,쓴맛
상당히 산뜻한 칵테일 중에서 중간 도수가 괜찮을까요?,중간,칵테일,상큼한
"높은 도수의 달콤한 보드카, 추천할 만한 거 있어?",높은,보드카,달달한
"오늘 스위트한 럼를 마시고 싶어, 도수는 높은로.",높은,럼,달달한
스위트한 칵테일 중에서 도수 낮은인 게 궁금해요.,낮은,칵테일,달달한
"마실 칵테일를 찾고 있어요. 산뜻한이고, 높은 도수면 좋겠어요.",높은,칵테일,상큼한
높은 도수의 부드러운 술을 찾아줘.,높은,알 수 없음,부드러운
위스키를 마시고 싶어.,중간,위스키,알 수 없음
상큼한 럼 중에서 중간 도수가 괜찮을까요?,중간,럼,신맛
나는 높은 도수의 스위트한 보드카을 마시고 싶어.,높은,보드카,달달한
도수는 중간로 부탁해요.,중간,알 수 없음,신맛
꽤 톡 쏘는 보드카 중에서 낮은 도수가 괜찮을까요?,낮은,보드카,신맛
칵테일를 마시고 싶어.,중간,칵테일,알 수 없음
"오늘 상큼한 보드카를 마시고 싶어, 도수는 높은로.",높은,보드카,신맛
"높은 도수의 매우 톡 쏘는 보드카, 추천할 만한 거 있어?",높은,보드카,신맛
"지금 상큼한 칵테일가 마시고 싶은데, 낮은 도수가 좋아.",낮은,칵테일,신맛
스위트한 위스키 중에서 낮은 도수가 괜찮을까요?,낮은,위스키,달달한
높은 도수로 스위트한 위스키를 마셔보고 싶어요.,높은,위스키,달달한
중간 도수의 소프트한 보드카 한 잔 어때?,중간,보드카,부드러운
부드러운 맛이 나는 술을 추천해줘.,알 수 없음,위스키,부드러운
낮은 도수로 매끄러운 럼를 마셔보고 싶어요.,낮은,럼,부드러운
높은 도수로 톡 쏘는 위스키를 마셔보고 싶어요.,높은,위스키,신맛
달콤한 칵테일 중에서 도수 중간인 게 궁금해요.,중간,칵테일,달달한
"마실 위스키를 찾고 있어요. 톡 쏘는이고, 높은 도수면 좋겠어요.",높은,위스키,신맛
쓴맛 술을 마시고 싶어.,중간,알 수 없음,쓴맛
나는 낮은 도수의 톡 쏘는 위스키을 마시고 싶어.,낮은,위스키,신맛
"오늘 소프트한 칵테일를 마시고 싶어, 도수는 높은로.",높은,칵테일,부드러운
매우 상큼한 럼 중에서 높은 도수의 것을 추천해줘.,높은,럼,신맛
중간 도수로 스위트한 칵테일를 마셔보고 싶어요.,중간,칵테일,달달한
오늘은 보드카 어때요?,중간,보드카,알 수 없음
"마실 위스키를 찾고 있어요. 매끄러운이고, 높은 도수면 좋겠어요.",높은,위스키,부드러운
부드러운한 술 없을까요?,알 수 없음,보드카,부드러운
높은 도수의 스위트한 보드카 한 잔 어때?,높은,보드카,달달한
"오늘 매우 스위트한 럼를 마시고 싶어, 도수는 높은로.",높은,럼,달달한
신맛 칵테일를 추천해줘.,알 수 없음,칵테일,신맛
중간 도수로 정말 톡 쏘는 칵테일를 마셔보고 싶어요.,중간,칵테일,신맛
도수가 중간인 술을 추천해줘.,중간,알 수 없음,부드러운
"오늘 꽤 상큼한 칵테일를 마시고 싶어, 도수는 높은로.",높은,칵테일,신맛
도수가 낮은인 매우 매끄러운 보드카를 마셔보고 싶어요.,낮은,보드카,부드러운
높은 도수의 럼를 마시고 싶어.,높은,럼,알 수 없음
낮은 도수의 톡 쏘는 칵테일 한 잔 어때?,낮은,칵테일,신맛
칵테일 중에서 쓴맛한 걸로 부탁해요.,알 수 없음,칵테일,쓴맛
"마실 위스키를 찾고 있어요. 매우 톡 쏘는이고, 높은 도수면 좋겠어요.",높은,위스키,신맛
중간 도수의 술을 찾고 있어.,중간,럼,알 수 없음
"높은 도수의 보드카를 추천해주세요, 쌉쌀한으로!오늘은 높은 도수의 쌉쌀한 보드카를 마셔야겠어.보드카를 마시고 싶어요. 쌉쌀한이고 도수는 높은가 좋아요.쌉쌀한 보드카 한 잔 어때? 도수는 높은로!가볍게 마실 수 있는 높은 도수의 쌉쌀한 보드카를 찾고 있어요.높은 도수의 보드카 중에 쌉쌀한인 걸 추천해주세요.친구랑 마실 쌉쌀한 보드카, 높은 도수로 부탁해요.도수 높은인 쌉쌀한 보드카를 마셔보고 싶은 기분이에요.쌉쌀한 보드카가 필요해요. 도수는 높은가 좋겠어요.오늘의 추천 보드카는 높은 도수의 쌉쌀한 걸로 해주세요.쌉쌀한 보드카 중에서 도수가 높은인 게 궁금하네요.높은 도수로 마실 만한 쌉쌀한 보드카, 알려줘.요즘 높은 도수의 쌉쌀한 보드카에 빠졌어요.도수가 높은이고 쌉쌀한 보드카, 괜찮을까요?쌉쌀한 보드카가 끌리는데, 도수는 높은로 골라줘.높은 도수의 쌉쌀한 보드카 한 잔 생각나네요.보드카 추천해줘! 쌉쌀한이고 도수는 높은로.",높은,보드카,쓴맛
"중간 도수의 위스키를 추천해주세요, 프레시한으로!오늘은 중간 도수의 프레시한 위스키를 마셔야겠어.위스키를 마시고 싶어요. 프레시한이고 도수는 중간가 좋아요.프레시한 위스키 한 잔 어때? 도수는 중간로!가볍게 마실 수 있는 중간 도수의 프레시한 위스키를 찾고 있어요.중간 도수의 위스키 중에 프레시한인 걸 추천해주세요.친구랑 마실 프레시한 위스키, 중간 도수로 부탁해요.도수 중간인 프레시한 위스키를 마셔보고 싶은 기분이에요.프레시한 위스키가 필요해요. 도수는 중간가 좋겠어요.오늘의 추천 위스키는 중간 도수의 프레시한 걸로 해주세요.프레시한 위스키 중에서 도수가 중간인 게 궁금하네요.중간 도수로 마실 만한 프레시한 위스키, 알려줘.요즘 중간 도수의 프레시한 위스키에 빠졌어요.도수가 중간이고 프레시한 위스키, 괜찮을까요?프레시한 위스키가 끌리는데, 도수는 중간로 골라줘.중간 도수의 프레시한 위스키 한 잔 생각나네요.위스키 추천해줘! 프레시한이고 도수는 중간로.",중간,위스키,상큼한
쓴맛 술을 마시고 싶어.,알 수 없음,알 수 없음,쓴맛
정말 상큼한 칵테일 중에서 중간 도수가 괜찮을까요?,중간,칵테일,신맛
보드카 중에서 달달한한 걸로 부탁해요.,알 수 없음,보드카,달달한
도수가 높은인 술을 추천해줘.,높은,알 수 없음,상큼한
도수가 중간인 매끄러운 럼를 마셔보고 싶어요.,중간,럼,부드러운
프레시한 보드카 중에서 도수 높은인 게 궁금해요.,높은,보드카,상큼한
나는 낮은 도수의 산뜻한 칵테일을 마시고 싶어.,낮은,칵테일,상큼한
보드카 중에서 낮은 도수 추천해줘.,낮은,보드카,알 수 없음
오늘은 위스키 어때요?,중간,위스키,알 수 없음
"마실 보드카를 찾고 있어요. 매끄러운이고, 높은 도수면 좋겠어요.",높은,보드카,부드러운
럼 중에서 부드러운한 걸로 부탁해요.,알 수 없음,럼,부드러운
나는 중간 도수의 매우 쌉쌀한 칵테일을 마시고 싶어.,중간,칵테일,쓴맛
나는 중간 도수의 매끄러운 칵테일을 마시고 싶어.,중간,칵테일,부드러운
중간 도수의 달콤한 럼 한 잔 어때?,중간,럼,달달한
도수가 낮은인 상큼한 보드카를 마셔보고 싶어요.,낮은,보드카,신맛
달콤한 위스키 중에서 낮은 도수가 괜찮을까요?,낮은,위스키,달달한
"중간 도수의 럼를 추천해주세요, 쌉쌀한으로!오늘은 중간 도수의 쌉쌀한 럼를 마셔야겠어.럼를 마시고 싶어요. 쌉쌀한이고 도수는 중간가 좋아요.쌉쌀한 럼 한 잔 어때? 도수는 중간로!가볍게 마실 수 있는 중간 도수의 쌉쌀한 럼를 찾고 있어요.중간 도수의 럼 중에 쌉쌀한인 걸 추천해주세요.친구랑 마실 쌉쌀한 럼, 중간 도수로 부탁해요.도수 중간인 쌉쌀한 럼를 마셔보고 싶은 기분이에요.쌉쌀한 럼가 필요해요. 도수는 중간가 좋겠어요.오늘의 추천 럼는 중간 도수의 쌉쌀한 걸로 해주세요.쌉쌀한 럼 중에서 도수가 중간인 게 궁금하네요.중간 도수로 마실 만한 쌉쌀한 럼, 알려줘.요즘 중간 도수의 쌉쌀한 럼에 빠졌어요.도수가 중간이고 쌉쌀한 럼, 괜찮을까요?쌉쌀한 럼가 끌리는데, 도수는 중간로 골라줘.중간 도수의 쌉쌀한 럼 한 잔 생각나네요.럼 추천해줘! 쌉쌀한이고 도수는 중간로.",중간,럼,쓴맛
중간 도수의 보드카를 마시고 싶어.,중간,보드카,알 수 없음
나는 낮은 도수의 쌉쌀한 칵테일을 마시고 싶어.,낮은,칵테일,쓴맛
"오늘 꽤 달콤한 보드카를 마시고 싶어, 도수는 높은로.",높은,보드카,달달한
"낮은 도수의 달콤한 럼, 추천할 만한 거 있어?",낮은,럼,달달한
보드카 중에서 낮은 도수 추천해줘.,낮은,보드카,알 수 없음
"오늘 쌉쌀한 럼를 마시고 싶어, 도수는 중간로.",중간,럼,쓴맛
부드러운 술을 마시고 싶어.,낮은,알 수 없음,부드러운
"중간 도수의 위스키를 추천해주세요, 상큼한으로!오늘은 중간 도수의 상큼한 위스키를 마셔야겠어.위스키를 마시고 싶어요. 상큼한이고 도수는 중간가 좋아요.상큼한 위스키 한 잔 어때? 도수는 중간로!가볍게 마실 수 있는 중간 도수의 상큼한 위스키를 찾고 있어요.중간 도수의 위스키 중에 상큼한인 걸 추천해주세요.친구랑 마실 상큼한 위스키, 중간 도수로 부탁해요.도수 중간인 상큼한 위스키를 마셔보고 싶은 기분이에요.상큼한 위스키가 필요해요. 도수는 중간가 좋겠어요.오늘의 추천 위스키는 중간 도수의 상큼한 걸로 해주세요.상큼한 위스키 중에서 도수가 중간인 게 궁금하네요.중간 도수로 마실 만한 상큼한 위스키, 알려줘.요즘 중간 도수의 상큼한 위스키에 빠졌어요.도수가 중간이고 상큼한 위스키, 괜찮을까요?상큼한 위스키가 끌리는데, 도수는 중간로 골라줘.중간 도수의 상큼한 위스키 한 잔 생각나네요.위스키 추천해줘! 상큼한이고 도수는 중간로.",중간,위스키,신맛
"낮은 도수의 위스키를 추천해주세요, 달콤한으로!오늘은 낮은 도수의 달콤한 위스키를 마셔야겠어.위스키를 마시고 싶어요. 달콤한이고 도수는 낮은가 좋아요.달콤한 위스키 한 잔 어때? 도수는 낮은로!가볍게 마실 수 있는 낮은 도수의 달콤한 위스키를 찾고 있어요.낮은 도수의 위스키 중에 달콤한인 걸 추천해주세요.친구랑 마실 달콤한 위스키, 낮은 도수로 부탁해요.도수 낮은인 달콤한 위스키를 마셔보고 싶은 기분이에요.달콤한 위스키가 필요해요. 도수는 낮은가 좋겠어요.오늘의 추천 위스키는 낮은 도수의 달콤한 걸로 해주세요.달콤한 위스키 중에서 도수가 낮은인 게 궁금하네요.낮은 도수로 마실 만한 달콤한 위스키, 알려줘.요즘 낮은 도수의 달콤한 위스키에 빠졌어요.도수가 낮은이고 달콤한 위스키, 괜찮을까요?달콤한 위스키가 끌리는데, 도수는 낮은로 골라줘.낮은 도수의 달콤한 위스키 한 잔 생각나네요.위스키 추천해줘! 달콤한이고 도수는 낮은로.",낮은,위스키,달달한
"오늘 매우 소프트한 보드카를 마시고 싶어, 도수는 높은로.",높은,보드카,부드러운
"높은 도수의 위스키를 추천해주세요, 소프트한으로!오늘은 높은 도수의 소프트한 위스키를 마셔야겠어.위스키를 마시고 싶어요. 소프트한이고 도수는 높은가 좋아요.소프트한 위스키 한 잔 어때? 도수는 높은로!가볍게 마실 수 있는 높은 도수의 소프트한 위스키를 찾고 있어요.높은 도수의 위스키 중에 소프트한인 걸 추천해주세요.친구랑 마실 소프트한 위스키, 높은 도수로 부탁해요.도수 높은인 소프트한 위스키를 마셔보고 싶은 기분이에요.소프트한 위스키가 필요해요. 도수는 높은가 좋겠어요.오늘의 추천 위스키는 높은 도수의 소프트한 걸로 해주세요.소프트한 위스키 중에서 도수가 높은인 게 궁금하네요.높은 도수로 마실 만한 소프트한 위스키, 알려줘.요즘 높은 도수의 소프트한 위스키에 빠졌어요.도수가 높은이고 소프트한 위스키, 괜찮을까요?소프트한 위스키가 끌리는데, 도수는 높은로 골라줘.높은 도수의 소프트한 위스키 한 잔 생각나네요.위스키 추천해줘! 소프트한이고 도수는 높은로.",높은,위스키,부드러운
나는 높은 도수의 조금 스위트한 보드카을 마시고 싶어.,높은,보드카,달달한
도수가 높은인 상당히 프레시한 위스키를 마셔보고 싶어요.,높은,위스키,상큼한
높은 도수로 상큼한 위스키를 마셔보고 싶어요.,높은,위스키,신맛
도수가 높은인 꽤 소프트한 보드카를 마셔보고 싶어요.,높은,보드카,부드러운
"높은 도수의 쌉쌀한 칵테일, 추천할 만한 거 있어?",높은,칵테일,쓴맛
"지금 매끄러운 럼가 마시고 싶은데, 높은 도수가 좋아.",높은,럼,부드러운
달콤한 칵테일 중에서 낮은 도수의 것을 추천해줘.,낮은,칵테일,달달한
럼 추천해줄래?,낮은,럼,알 수 없음
신맛 술을 마시고 싶어.,알 수 없음,위스키,신맛
매우 톡 쏘는 럼 중에서 낮은 도수가 괜찮을까요?,낮은,럼,신맛
나는 중간 도수의 스위트한 럼을 마시고 싶어.,중간,럼,달달한
매끄러운 럼 중에서 도수 높은인 게 궁금해요.,높은,럼,부드러운
도수가 중간인 프레시한 칵테일를 마셔보고 싶어요.,중간,칵테일,상큼한
칵테일 중에서 부드러운한 걸로 부탁해요.,알 수 없음,칵테일,부드러운
높은 도수의 산뜻한 보드카 한 잔 어때?,높은,보드카,상큼한
신맛한 술 없을까요?,낮은,알 수 없음,신맛
"지금 스위트한 위스키가 마시고 싶은데, 낮은 도수가 좋아.",낮은,위스키,달달한
"마실 럼를 찾고 있어요. 톡 쏘는이고, 중간 도수면 좋겠어요.",중간,럼,신맛
아주 쌉쌀한 칵테일 중에서 중간 도수의 것을 추천해줘.,중간,칵테일,쓴맛
도수가 높은인 소프트한 칵테일를 마셔보고 싶어요.,높은,칵테일,부드러운
프레시한 보드카 중에서 낮은 도수가 괜찮을까요?,낮은,보드카,상큼한
꽤 매끄러운 럼 중에서 낮은 도수의 것을 추천해줘.,낮은,럼,부드러운
중간 도수의 정말 소프트한 위스키 한 잔 어때?,중간,위스키,부드러운
스위트한 위스키 중에서 높은 도수가 괜찮을까요?,높은,위스키,달달한
매우 달콤한 위스키 중에서 도수 중간인 게 궁금해요.,중간,위스키,달달한
"오늘 프레시한 위스키를 마시고 싶어, 도수는 높은로.",높은,위스키,상큼한
나는 중간 도수의 소프트한 위스키을 마시고 싶어.,중간,위스키,부드러운
칵테일를 마시고 싶어.,높은,칵테일,알 수 없음
낮은 도수의 매끄러운 칵테일 한 잔 어때?,낮은,칵테일,부드러운
낮은 도수로 톡 쏘는 위스키를 마셔보고 싶어요.,낮은,위스키,신맛
칵테일 중에서 상큼한한 걸로 부탁해요.,알 수 없음,칵테일,상큼한
"마실 칵테일를 찾고 있어요. 쌉쌀한이고, 낮은 도수면 좋겠어요.",낮은,칵테일,쓴맛
"오늘 꽤 톡 쏘는 칵테일를 마시고 싶어, 도수는 낮은로.",낮은,칵테일,신맛
높은 도수의 꽤 쌉쌀한 위스키 한 잔 어때?,높은,위스키,쓴맛
산뜻한 보드카 중에서 높은 도수가 괜찮을까요?,높은,보드카,상큼한
낮은 도수로 매끄러운 럼를 마셔보고 싶어요.,낮은,럼,부드러운
"지금 매우 스위트한 위스키가 마시고 싶은데, 낮은 도수가 좋아.",낮은,위스키,달달한
비터한 위스키 중에서 중간 도수의 것을 추천해줘.,중간,위스키,쓴맛
"오늘 산뜻한 럼를 마시고 싶어, 도수는 높은로.",높은,럼,상큼한
쓴맛 술을 마시고 싶어.,알 수 없음,보드카,쓴맛
"중간 도수의 달콤한 칵테일, 추천할 만한 거 있어?",중간,칵테일,달달한
도수가 낮은인 술을 추천해줘.,낮은,알 수 없음,상큼한
위스키 추천해줄래?,알 수 없음,위스키,상큼한
도수가 높은인 상큼한 칵테일를 마셔보고 싶어요.,높은,칵테일,신맛
쓴맛 술을 마시고 싶어.,높은,알 수 없음,쓴맛
"지금 정말 산뜻한 보드카가 마시고 싶은데, 높은 도수가 좋아.",높은,보드카,상큼한
"오늘 톡 쏘는 칵테일를 마시고 싶어, 도수는 중간로.",중간,칵테일,신맛
높은 도수의 달달한 술을 찾아줘.,높은,알 수 없음,달달한
쌉쌀한 럼 중에서 중간 도수의 것을 추천해줘.,중간,럼,쓴맛
신맛 맛이 나는 술을 추천해줘.,낮은,알 수 없음,신맛
"낮은 도수의 스위트한 보드카, 추천할 만한 거 있어?",낮은,보드카,달달한
중간 도수의 톡 쏘는 럼 한 잔 어때?,중간,럼,신맛
도수가 높은인 꽤 산뜻한 위스키를 마셔보고 싶어요.,높은,위스키,상큼한
"높은 도수의 럼를 추천해주세요, 소프트한으로!오늘은 높은 도수의 소프트한 럼를 마셔야겠어.럼를 마시고 싶어요. 소프트한이고 도수는 높은가 좋아요.소프트한 럼 한 잔 어때? 도수는 높은로!가볍게 마실 수 있는 높은 도수의 소프트한 럼를 찾고 있어요.높은 도수의 럼 중에 소프트한인 걸 추천해주세요.친구랑 마실 소프트한 럼, 높은 도수로 부탁해요.도수 높은인 소프트한 럼를 마셔보고 싶은 기분이에요.소프트한 럼가 필요해요. 도수는 높은가 좋겠어요.오늘의 추천 럼는 높은 도수의 소프트한 걸로 해주세요.소프트한 럼 중에서 도수가 높은인 게 궁금하네요.높은 도수로 마실 만한 소프트한 럼, 알려줘.요즘 높은 도수의 소프트한 럼에 빠졌어요.도수가 높은이고 소프트한 럼, 괜찮을까요?소프트한 럼가 끌리는데, 도수는 높은로 골라줘.높은 도수의 소프트한 럼 한 잔 생각나네요.럼 추천해줘! 소프트한이고 도수는 높은로.",높은,럼,부드러운
도수가 낮은인 술을 추천해줘.,낮은,럼,알 수 없음
쓴맛하고 도수는 높은인 술 추천해줘.,높은,알 수 없음,쓴맛
칵테일 추천해줄래?,알 수 없음,칵테일,알 수 없음
상당히 상큼한 럼 중에서 도수 낮은인 게 궁금해요.,낮은,럼,신맛
보드카를 마시고 싶어.,알 수 없음,보드카,신맛
"높은 도수의 달콤한 칵테일, 추천할 만한 거 있어?",높은,칵테일,달달한
신맛 술을 마시고 싶어.,알 수 없음,럼,신맛
산뜻한 럼 중에서 도수 중간인 게 궁금해요.,중간,럼,상큼한
"높은 도수의 매끄러운 칵테일, 추천할 만한 거 있어?",높은,칵테일,부드러운
"오늘 매끄러운 위스키를 마시고 싶어, 도수는 중간로.",중간,위스키,부드러운
쓴맛 칵테일를 추천해줘.,알 수 없음,칵테일,쓴맛
"오늘 소프트한 칵테일를 마시고 싶어, 도수는 중간로.",중간,칵테일,부드러운
"낮은 도수의 럼를 추천해주세요, 스위트한으로!오늘은 낮은 도수의 스위트한 럼를 마셔야겠어.럼를 마시고 싶어요. 스위트한이고 도수는 낮은가 좋아요.스위트한 럼 한 잔 어때? 도수는 낮은로!가볍게 마실 수 있는 낮은 도수의 스위트한 럼를 찾고 있어요.낮은 도수의 럼 중에 스위트한인 걸 추천해주세요.친구랑 마실 스위트한 럼, 낮은 도수로 부탁해요.도수 낮은인 스위트한 럼를 마셔보고 싶은 기분이에요.스위트한 럼가 필요해요. 도수는 낮은가 좋겠어요.오늘의 추천 럼는 낮은 도수의 스위트한 걸로 해주세요.스위트한 럼 중에서 도수가 낮은인 게 궁금하네요.낮은 도수로 마실 만한 스위트한 럼, 알려줘.요즘 낮은 도수의 스위트한 럼에 빠졌어요.도수가 낮은이고 스위트한 럼, 괜찮을까요?스위트한 럼가 끌리는데, 도수는 낮은로 골라줘.낮은 도수의 스위트한 럼 한 잔 생각나네요.럼 추천해줘! 스위트한이고 도수는 낮은로.",낮은,럼,달달한
높은 도수의 비터한 위스키 한 잔 어때?,높은,위스키,쓴맛
"중간 도수의 정말 달콤한 럼, 추천할 만한 거 있어?",중간,럼,달달한
"지금 상큼한 칵테일가 마시고 싶은데, 중간 도수가 좋아.",중간,칵테일,신맛
나는 낮은 도수의 비터한 칵테일을 마시고 싶어.,낮은,칵테일,쓴맛
칵테일 중에서 신맛한 걸로 부탁해요.,알 수 없음,칵테일,신맛
"지금 프레시한 위스키가 마시고 싶은데, 낮은 도수가 좋아.",낮은,위스키,상큼한
쌉쌀한 칵테일 중에서 낮은 도수의 것을 추천해줘.,낮은,칵테일,쓴맛
칵테일 추천해줄래?,높은,칵테일,알 수 없음
"지금 꽤 소프트한 위스키가 마시고 싶은데, 낮은 도수가 좋아.",낮은,위스키,부드러운
"오늘 산뜻한 럼를 마시고 싶어, 도수는 높은로.",높은,럼,상큼한
"낮은 도수의 쌉쌀한 위스키, 추천할 만한 거 있어?",낮은,위스키,쓴맛
높은 도수의 술을 찾고 있어.,높은,보드카,알 수 없음
비터한 칵테일 중에서 높은 도수의 것을 추천해줘.,높은,칵테일,쓴맛
"지금 쌉쌀한 럼가 마시고 싶은데, 낮은 도수가 좋아.",낮은,럼,쓴맛
